,id,username,text,created_at,date,retweets,hashtags,geo,polarity,subjectivity
59,1235322018096087040,JanKEliasson,"Många mörka moln i världen: Corona, ekonomisk oro, människor på desperat flykt, politiska klimatet i USA mm. Nu gäller det att värna värderingar o principer, hålla sig till fakta, samarbeta och fokusera. ” Ett helsicke i taget ” sa Olof Palme när listan på elände blev för lång.",2020-03-04 21:51:34+00:00,2020-03-04,140,,,0.0,0.0
60,1235321881059786752,johnsouthwales,Usa democrat conference. Which type of corona do you have. All of them resemble just the same as flu,2020-03-04 21:51:02+00:00,2020-03-04,0,,,0.0,0.04
61,1235321720233431040,N1HYKeSQPK0cluo,"President trump: good morning! God bless you! God bless American!dow index trend up long time good, USA economic very good, USA first,president trump winning winning 2020,USA technology first strong winning winning virus , USA very safe,Chen Sheng Chen Taiwan 。 ",2020-03-04 21:50:23+00:00,2020-03-04,0,,,0.43333333333333335,0.3933333333333333
62,1235321039095312385,mattyork1973,"@CMO_England Can you commit to providing BSL interpreters for all big announcements about the corona virus. Government announcements in the USA, Australia and New Zealand always have an interpreter. British sign language users deserve equality.",2020-03-04 21:47:41+00:00,2020-03-04,0,,,0.04666666666666667,0.18333333333333335
63,1235319632069898242,jidesign1,Why not react this expeditiously for the flu? It’s killing way more people? Politics? Corona Virus Perspective: Corona Virus: USA As of March 3/4/20 Total Cases-154 Total Deaths-11 (had pre-existing medical conditions) Active Cases-134 Serious Critical-8 CDC Flu stats USA ,2020-03-04 21:42:06+00:00,2020-03-04,1,,,0.10250000000000001,0.2625
64,1235318989913575425,Economy24x7,"Dow soars nearly 1,200 points as investors weigh Biden resurgence, efforts to guard economies against coronavirus - USA TODAY ",2020-03-04 21:39:32+00:00,2020-03-04,0,,,0.1,0.4
65,1235318619384537089,rosadineve,"Sembra che negli USA non ci siano tanti casi di Corona Virus registrati perche' ogni tampone costa 3.300 dollari al paziente, essendoci sanità privata Chi ha l'assicurazione ha rimborso di soli 1.400 dollari. Ulteriore motivo per apprezzare di più il nostro Sistema Sanitario",2020-03-04 21:38:04+00:00,2020-03-04,22,,,0.0,0.0
66,1235318606193455104,ADFCFUTUREFOREX,https://www.cbsnews.com/news/super-tuesday-stock-market-up-joe-biden/ #StockMarket #sp500 #nasdaq #dowjones #index #wallstreet #joebiden #usa #coronavirus,2020-03-04 21:38:01+00:00,2020-03-04,0,#StockMarket #sp500 #nasdaq #dowjones #index #wallstreet #joebiden #usa #coronavirus,,0.0,0.0
67,1235318122833420291,svegress,"2nd opinion from @TheAtlantic says that even the counting of #Corona cases in the USA is deeply flawed. ""We know, irrefutably, one thing...The number of cases reported in every chart and table is far too low."" ",2020-03-04 21:36:06+00:00,2020-03-04,0,#Corona,,-0.1,0.45
68,1235317665624920065,holysmokescraft,"""Just in time for re-elections"" And a trade war Repost nowthisweed #tradewars #china #usa #corona #coronavirüs #coronavirus #death #manmade #provape #cannabisindustry #vapepen #vape #vapepens #holysmokestv… https://www.instagram.com/p/B9U7OVoBnpy/?igshid=p8iezqb3zm82",2020-03-04 21:34:17+00:00,2020-03-04,0,#tradewars #china #usa #corona #coronavir #coronavirus #death #manmade #provape #cannabisindustry #vapepen #vape #vapepens #holysmokestv,,0.0,0.0
69,1235316670526304263,pizzaital,41/ - [04. März 2020' - CET 22:30 Uhr #Deutschland #Schweiz #Italia #EU] - [04. March 2020' - GMT-5 04:30 p.m. #NewYork #USA] - #Москва #UK #China #Worldwide #CoronaVirusUpdate #COVID19 #SARS_CoV_2 #CoronaVirus #Corona #Virus https://systems.jhu.edu/,2020-03-04 21:30:19+00:00,2020-03-04,2,#Deutschland #Schweiz #Italia #EU #NewYork #USA #UK #China #Worldwide #CoronaVirusUpdate #COVID19 #SARS_CoV_2 #CoronaVirus #Corona #Virus,,0.0,0.0
70,1235316475017203713,GOPKILLS,Why don’t you stand up for him? Why can’t you defend flu shots for corona virus? Nuking hurricanes? Airports from 1776? You can’t defend him?,2020-03-04 21:29:33+00:00,2020-03-04,0,,,0.0,0.0
71,1235316169462231041,Fiston509,USA New York ak Los Angeles Corona debake nan 2 zòn sa yo ,2020-03-04 21:28:20+00:00,2020-03-04,0,,,0.14,0.45
72,1235315786102837248,courageousgirl2,"Dow soars nearly 1,200 points as investors weigh Biden resurgence, efforts to guard economies against coronavirus - USA TODAY https://apple.news/A43QJCG8sQgy3nxRPE2zFyA",2020-03-04 21:26:49+00:00,2020-03-04,0,,,0.1,0.4
73,1235315683048779777,whitefanghowl,"si prendono i ragazzini, li si mette in un bel laboratorio e li si usa come cavie per il corona virus. ",2020-03-04 21:26:24+00:00,2020-03-04,0,,,0.0,0.0
74,1235315614048292865,ghwhitsett,"Dow soars nearly 1,200 points as investors weigh Biden resurgence, efforts to guard economies against coronavirus - USA TODAY https://apple.news/A43QJCG8sQgy3nxRPE2zFyA",2020-03-04 21:26:08+00:00,2020-03-04,0,,,0.1,0.4
75,1235314575244959745,SharNeal,"Yea! the Dow is up 1100+ points today the whole ""crash"" thing was rigged by Dems trying to hurt the USA &amp; POTUS with Corona Virus panic Trump is handling it perfectly",2020-03-04 21:22:00+00:00,2020-03-04,0,,,0.3,0.35
76,1235314387898052608,bcamposmenchen,#Cierre #USA: #SP500 +4.22% #NASDAQ +3.85% #DowJones +4.53%,2020-03-04 21:21:15+00:00,2020-03-04,0,#Cierre #USA #SP500 #NASDAQ #DowJones,,0.0,0.0
77,1235314178019254273,BronzerGal,"Dow jumps as investors weigh Biden resurgence, efforts to guard economies against coronavirus - USA TODAY https://apple.news/A43QJCG8sQgy3nxRPE2zFyA",2020-03-04 21:20:25+00:00,2020-03-04,0,,,0.0,0.0
78,1235313923265638407,RichMykola,"Yes, the massive pandemic in the USA with 6 deaths. Hilary Clinton is more dangerous than the Corona Virus",2020-03-04 21:19:24+00:00,2020-03-04,0,,,-0.025,0.85
79,1235313798455742464,davidfilho31,povo andando na rua de máscara com medo do corona vírus e não usa camisinha na hora de fazer teté #HIVmata,2020-03-04 21:18:55+00:00,2020-03-04,0,#HIVmata,,0.0,0.0
80,1235312666308116481,calirufi,https://www.yourmoney.ch/yourmoney/story.html?id=20200304-1721 USA: Petite croissance de l'activite devut 2020 DOW: +4.53% S&amp;amp;P: +4.22% NASDAQ: +3.85% ,2020-03-04 21:14:25+00:00,2020-03-04,0,,,0.0,0.0
81,1235312361600364545,GinSecurities,Illinois and Northeast USA are like a 90yr old person with emphysema catching Corona virus,2020-03-04 21:13:12+00:00,2020-03-04,0,,,0.35,0.55
82,1235311953532407810,Mauro29855964,Mi sembra che il corona virus sia un nuovo modo x ridisegnare i confini e la spartizione terrestre da parte di USA e RUSSIA...compreso i territori arabi. Non potendo fare guerre globali troppo rischiose ..questa e la guerra economica x riarricchire i poteri forti. Sbaglio ?,2020-03-04 21:11:35+00:00,2020-03-04,0,,,0.0,0.0
83,1235311319001292801,Investeraren,"Efter kvällens uppgång i USA har indexen hämtat igen nästan 10% sedan botten i fredags. Då spikade VIX kring 50 vilket historiskt varit en god indikation att panik råder och att börsen är översåld #PrataPengar S&amp;P 500 +4,22% Dow Jones +4,53% Nasdaq +3,34% Nasdaq 100 +3,54% ",2020-03-04 21:09:04+00:00,2020-03-04,2,#PrataPengar,,0.0,0.0
84,1235310905853956098,anavazquezjust,You had better talk about internal matters of dems because you do not want people to remember your ridiculous and embarrassing press conference regarding the corona virus protocols and containment in the USA.,2020-03-04 21:07:25+00:00,2020-03-04,0,,,0.06,0.5
85,1235308203736526855,Faufauschwitz,"Oh mince il a déjà muté quelle dommage, ça avait l'air crédible. Saches pour ta gouverne que le corona en Angleterre et aux USA sont deux souches différentes donc il y a eu mutation. La grippe mute et elle a pas encore terrassé l'humanité, respires un coup ça ira mieux.",2020-03-04 20:56:41+00:00,2020-03-04,0,,,0.0,0.0
86,1235308151307718656,dinhoptarh,Measures taken by other countries to Curtail the spread of Corona Virus #CoronaAlert Italy: All football games will now be played behind closed doors till April 30 USA: To cut off travel from USA to countries with hot COVID-19 cases. UAE: To close all schools for 4 weeks.,2020-03-04 20:56:28+00:00,2020-03-04,0,#CoronaAlert,,-0.045,0.255
87,1235307706413649921,tzincapits,No entiendo ciudad de mexico no se usa bolsa plástica por cuidar el ambiente perfecto. Protocolo de cuidados de higiene corona virus ocupa papel para cubrir boca y nariz depositarlo en una bolsa plástica y tirar en la basura . No entiendo,2020-03-04 20:54:42+00:00,2020-03-04,0,,,0.0,0.0
